Регион,Раздел,Название документа,Ссылка,Теги
Российские,Детская нейрохирургия,Черепно-мозговая травма у детей,https://cr.minzdrav.gov.ru/preview-cr/493_3,""
Российские,Детская нейрохирургия,Врожденные аномалии костей черепа и лица,https://cr.minzdrav.gov.ru/preview-cr/474_2,""
Российские,Детская нейрохирургия,Внутрижелудочковое нетравматическое кровоизлияние (плод/новорожденный),https://cr.minzdrav.gov.ru/preview-cr/948_1,""
Российские,Детская нейрохирургия,Несиндромальные краниосиностозы,https://ruans.org/Text/Guidelines/children_sinostosis.pdf,""
Российские,Детская нейрохирургия,Постгеморрагическая гидроцефалия у новорожденных,https://ruans.org/Text/Guidelines/newborns_hydrocephalus.pdf,""
Российские,Детская нейрохирургия,Синдром фиксированного спинного мозга,https://ruans.org/Text/Guidelines/fixed_spinal_cord_children.pdf,""
Российские,Детская нейрохирургия,Опухоли головного мозга у детей грудного возраста,https://ruans.org/Text/Guidelines/brain_tumors_infants.pdf,""
Российские,Детская нейрохирургия,Медуллобластомы у детей,https://ruans.org/Text/Guidelines/children_medulloblastomas.pdf,""
Российские,Детская нейрохирургия,Нейрохирургическое лечение ДЦП,https://ruans.org/Text/Guidelines/children_cerebral_paralysis.pdf,""
Международные,Детская нейрохирургия (ISPN/CNS),Pediatric Severe TBI (3rd Ed.),https://static1.squarespace.com/static/63e696a90a26c23e4c021cee/t/640b74d5f7e7f910db5435ae/1678472405928/Pediatric_3rd_Edition.pdf,""
Международные,Детская нейрохирургия (ISPN/CNS),Pediatric Hydrocephalus (CNS),https://www.cns.org/guidelines/pediatric-hydrocephalus/1-introduction-methodology-4,""
Международные,Детская нейрохирургия (ISPN/CNS),Pediatric CNS Cancers (NCCN),https://www.nccn.org/professionals/physician_gls/pdf/ped_cns.pdf,""
Международные,Детская нейрохирургия (ISPN/CNS),Vein of Galen Malformations (ISPN),https://ispn.guide/vascular-disorders-of-the-nervous-system-in-children/vein-of-galen-malformations-in-children-homepage/management-of-vein-of-galen-malformations-in-children/,""
Международные,Детская нейрохирургия (ISPN/CNS),Dural AV Fistulas in Children (ISPN),https://ispn.guide/vascular-disorders-of-the-nervous-system-in-children/dural-arteriovenous-fistulas-in-children-homepage-2025/management-of-dural-arteriovenous-fistulas-in-children-2025/,""
Международные,Детская нейрохирургия (ISPN/CNS),Cerebral AVMs in Children (ISPN),https://ispn.guide/vascular-disorders-of-the-nervous-system-in-children/cerebral-arteriovenous-malformations-in-children-homepage-2025/management-of-cerebral-arteriovenous-malformations-in-children-2025/,""
Международные,Детская нейрохирургия (ISPN/CNS),Intracranial Aneurysms in Children (ISPN),https://ispn.guide/vascular-disorders-of-the-nervous-system-in-children/intracranial-aneurysms-in-children-homepage-2/management-of-intracranial-aneurysms-in-children-revised/,""
Международные,Детская нейрохирургия (ISPN/CNS),Spinal Lipoma (ISPN),https://ispn.guide/congenital-disorders-of-the-nervous-system-in-children/spinal-lipoma-in-children-homepage/management-of-spinal-lipoma-in-children/,""
Международные,Детская нейрохирургия (ISPN/CNS),Syringomyelia in Children (ISPN),https://ispn.guide/congenital-disorders-of-the-nervous-system-in-children/syringomyelia-in-children-homepage/management-of-syringomyelia-in-children/tips-and-techniques-for-syringomyelia-in-children-2/,""
Международные,Детская нейрохирургия (ISPN/CNS),Myelomeningocele (CNS),https://www.cns.org/guidelines/pediatric-myelomeningocele/1-introduction-methods-2,""
Международные,Детская нейрохирургия (ISPN/CNS),Positional Plagiocephaly,https://www.cns.org/guidelines/management-positional-plagiocephaly/summary,""
Международные,Детская нейрохирургия (ISPN/CNS),Intramedullary Spinal Tumors (ISPN),https://ispn.guide/tumors-of-the-nervous-system-in-children/spinal-tumors-in-children/intramedullary-spinal-cord-tumors-in-children-homepage-2/,""
Международные,Детская нейрохирургия (ISPN/CNS),Selective Dorsal Rhizotomy (SDR),https://ispn.guide/functional-disorders-of-the-nervous-system-in-children/selective-dorsal-rhizotomy-for-the-management-of-spasticity-children-homepage/,""
Международные,Детская нейрохирургия (ISPN/CNS),Neurocysticercosis in Children,https://ispn.guide/infections-of-the-nervous-system-in-children/cysticercosis-of-the-central-nervous-system-in-children-homepage/management-of-neurocysticercosis-in-children/,""
